2025-05-22T19:44:36.851Z - Method: no-cursor, Page: 1, Time Taken: 1.05ms
2025-05-22T19:44:37.275Z - Method: no-cursor, Page: 2, Time Taken: 0.81ms
2025-05-22T19:44:37.599Z - Method: no-cursor, Page: 3, Time Taken: 1.41ms
2025-05-22T19:44:37.940Z - Method: no-cursor, Page: 4, Time Taken: 1.52ms
2025-05-22T19:44:38.253Z - Method: no-cursor, Page: 3, Time Taken: 0.88ms
2025-05-22T19:44:38.396Z - Method: no-cursor, Page: 2, Time Taken: 0.79ms
2025-05-22T19:44:38.565Z - Method: no-cursor, Page: 1, Time Taken: 1.47ms
2025-05-22T19:44:38.766Z - Method: no-cursor, Page: 1, Time Taken: 0.82ms
2025-05-22T19:44:38.981Z - Method: no-cursor, Page: 1, Time Taken: 1.82ms
2025-05-22T19:44:39.202Z - Method: no-cursor, Page: 1, Time Taken: 1.16ms
2025-05-22T19:44:39.419Z - Method: no-cursor, Page: 1, Time Taken: 0.80ms
2025-05-22T19:44:39.678Z - Method: no-cursor, Page: 1, Time Taken: 0.89ms
2025-05-22T19:44:39.915Z - Method: no-cursor, Page: 1, Time Taken: 0.88ms
2025-05-22T19:44:40.202Z - Method: no-cursor, Page: 1, Time Taken: 1.35ms
2025-05-22T19:44:40.566Z - Method: no-cursor, Page: 1, Time Taken: 1.23ms
2025-05-22T19:44:40.908Z - Method: no-cursor, Page: 1, Time Taken: 1.10ms
2025-05-22T19:44:41.398Z - Method: no-cursor, Page: 2, Time Taken: 1.44ms
2025-05-22T19:44:41.570Z - Method: no-cursor, Page: 3, Time Taken: 1.66ms
2025-05-22T19:44:41.759Z - Method: no-cursor, Page: 4, Time Taken: 1.31ms
2025-05-22T19:44:42.093Z - Method: no-cursor, Page: 3, Time Taken: 1.30ms
2025-05-22T19:44:42.255Z - Method: no-cursor, Page: 2, Time Taken: 1.33ms
2025-05-22T19:44:42.431Z - Method: no-cursor, Page: 1, Time Taken: 1.06ms
2025-05-22T19:44:42.607Z - Method: no-cursor, Page: 1, Time Taken: 1.18ms
2025-05-22T19:44:42.792Z - Method: no-cursor, Page: 1, Time Taken: 1.73ms
2025-05-22T19:44:42.980Z - Method: no-cursor, Page: 1, Time Taken: 1.71ms
2025-05-22T19:44:43.158Z - Method: no-cursor, Page: 1, Time Taken: 1.32ms
2025-05-22T19:44:43.331Z - Method: no-cursor, Page: 1, Time Taken: 1.49ms
2025-05-22T19:44:43.508Z - Method: no-cursor, Page: 1, Time Taken: 1.44ms
2025-05-22T19:44:43.695Z - Method: no-cursor, Page: 1, Time Taken: 1.77ms
2025-05-22T19:44:43.888Z - Method: no-cursor, Page: 1, Time Taken: 1.53ms
2025-05-22T19:44:44.074Z - Method: no-cursor, Page: 1, Time Taken: 1.20ms
2025-05-22T19:44:44.274Z - Method: no-cursor, Page: 1, Time Taken: 1.61ms
2025-05-22T19:44:44.446Z - Method: no-cursor, Page: 1, Time Taken: 1.24ms
2025-05-22T19:44:44.633Z - Method: no-cursor, Page: 1, Time Taken: 1.23ms
2025-05-22T19:44:44.826Z - Method: no-cursor, Page: 1, Time Taken: 1.56ms
2025-05-22T19:44:45.023Z - Method: no-cursor, Page: 1, Time Taken: 1.10ms
2025-05-22T19:44:45.166Z - Method: no-cursor, Page: 1, Time Taken: 0.97ms
2025-05-22T19:44:45.360Z - Method: no-cursor, Page: 1, Time Taken: 1.69ms
2025-05-22T19:44:45.560Z - Method: no-cursor, Page: 1, Time Taken: 1.82ms
2025-05-22T19:44:45.736Z - Method: no-cursor, Page: 1, Time Taken: 1.79ms
2025-05-22T19:44:45.902Z - Method: no-cursor, Page: 1, Time Taken: 1.69ms
